market_name,sido,sigungu,address,lat,lng,num_stores,items,open_cycle,parking_p02,parking_p03,rest_area,kids_room,match_status
청호시장,전남,목포시,전라남도 목포시 석현로 28,34.81537749,126.4245916,202,농산물+축산물+수산물+가공식품+음식점,매일,Y,Y,Y,N,매칭완료
항동시장,전남,목포시,전라남도 목포시 수강로12번길 2,34.78600878,126.3856159,115,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,매일,Y,Y,N,N,매칭완료
무안전통시장,전남,무안군,전라남도 무안군 무안읍 승달로 11,34.99348251,126.4724295,65,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,4일+9일,Y,Y,Y,N,매칭완료
일로전통시장,전남,무안군,전라남도 무안군 시장길 11-22,34.84753364,126.4943339,56,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,1일+6일,Y,Y,Y,N,매칭완료
녹차골보성향토시장(보성읍5일시장),전남,보성군,전라남도 보성군 보성읍 현충로 42-1,34.76564839,127.0772384,99,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,2일+7일,Y,Y,Y,N,매칭완료
벌교매일시장,전남,보성군,전라남도 보성군 벌교읍 시장2길 10-41,34.84300877,127.3459893,83,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,매일,Y,Y,N,N,매칭완료
벌교전통시장,전남,보성군,전라남도 보성군 벌교읍 시장1길 10,34.84493134,127.3450789,49,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,4일+9일,Y,Y,N,N,매칭완료
보성매일시장,전남,보성군,전라남도 보성군 보성읍 신흥길 9,34.76817918,127.0806162,31,농산물+축산물+수산물+가공식품+가정용품+음식점,매일,Y,Y,N,N,매칭완료
복내5일시장,전남,보성군,전라남도 보성군 송재로 1838-12,34.89370035,127.1331421,25,농산물+수산물+가공식품+의류+신발+가정용품+음식점,4일+9일,Y,Y,N,N,매칭완료
조성5일시장,전남,보성군,전라남도 보성군 조성면 조성로 90-6,34.80647615,127.2452824,22,농산물,5일+10일,Y,Y,N,N,매칭완료
괴목시장,전남,순천시,전라남도 순천시 황전면 괴목길 17,35.10243423,127.4282445,48,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,4일+9일,Y,Y,N,N,매칭완료
순천시아랫장(순천아랫장),전남,순천시,전라남도 순천시 장평로 60,34.94514825,127.496084,206,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,2일+7일,Y,Y,Y,Y,매칭완료
승주시장,전남,순천시,전라남도 승주읍 승주장길 14,35.01315903,127.387664,18,농산물+수산물+가공식품+의류+신발+가정용품+음식점,1일+6일,Y,Y,N,N,매칭완료
역전시장,전남,순천시,전라남도 순천시 역전장길 9,34.94374833,127.5033333,170,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,매일,Y,Y,N,N,매칭완료
웃장,전남,순천시,전라남도 순천시 북문길 40,34.95864147,127.4850305,68,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,5일+10일,Y,Y,Y,N,매칭완료
주암시장,전남,순천시,전라남도 순천시 주암호길 9,35.07598752,127.2352637,22,농산물+축산물+수산물+가공식품+의류+신발+가정용품,3일+8일,Y,Y,N,N,매칭완료
중앙시장,전남,순천시,전라남도 순천시 중앙시장길 18,34.95326194,127.4846047,50,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,매일,Y,Y,N,N,매칭완료
지도 전통시장,전남,신안군,전라남도 신안군 지도읍 읍내길 16-20,35.0588198,126.2069832,64,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,3일+8일,Y,Y,Y,N,매칭완료
(주)서시장,전남,여수시,전라남도 여수시 좌수영로 16-6,34.74178725,127.7286168,230,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,매일,Y,Y,Y,N,매칭완료
(주)여수수산시장,전남,여수시,전라남도 여수시 여객선터미널길 24,34.73813576,127.7317623,106,수산물+가공식품+음식점,매일,Y,Y,Y,N,매칭완료
교동시장,전남,여수시,전라남도 여수시 교동시장1길 17-6,34.73896529,127.730219,92,농산물+축산물+수산물+가공식품+음식점,매일,N,N,N,N,매칭완료
덕양시장,전남,여수시,전라남도 여수시 소라면 하세동길 7,34.79802722,127.6314434,15,음식점,매일,Y,Y,N,N,매칭완료
도깨비시장,전남,여수시,전라남도 여수시 학동서5길 18,34.76331689,127.6565415,121,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,매일,Y,Y,N,N,매칭완료
쌍봉시장,전남,여수시,전라남도 여수시 학동2길 7,34.76414545,127.6649804,25,농산물+축산물+수산물+가공식품+의류+가정용품+음식점+근린생활서비스,매일,Y,Y,N,N,매칭완료
여수서시장주변시장,전남,여수시,전라남도 여수시 중앙로 3-2,34.74075239,127.7283238,245,농산물+축산물+가공식품+의류,4일+9일,Y,Y,N,N,매칭완료
여수수산물특화시장,전남,여수시,전라남도 여수시 남산로 60-31,34.73683093,127.7328973,131,수산물+음식점,매일,Y,Y,N,Y,매칭완료
제일시장,전남,여수시,전라남도 여수시 학동2길 7-4,34.76419231,127.6646531,61,농산물+수산물+가공식품+가정용품+음식점,매일,Y,Y,N,N,매칭완료
