address,lat,lng
광주 동구 학소로106번길 19,35.129914164979,126.934882139689
광주 동구 제봉로17번길 6-1,35.1398746007708,126.921654347553
광주 북구 용봉로 38 1층,35.1714677566669,126.901016432438
광주 북구 양산택지로 27,35.2091069691764,126.879073770592
광주 동구 동산길 34,35.1303589164475,126.948187115826
광주 서구 월드컵4강로181번길 42,35.1522981708969,126.864881241606
광주 북구 고운로 7,35.18216323215,126.899348097996
광주 동구 제봉로 35-2,35.1417718550276,126.920786957451
광주 광산구 풍영로 231 1층,35.1922683452267,126.813932545102
광주 서구 운천로154번길 30-2 도이스키친 2층 보울가득,35.1464419721344,126.860219113671
광주 서구 상무중앙로 70 1층 보울레시피,35.1531039693522,126.848843763253
광주 북구 첨단과기로208번길 43-10 1층 106-a호,35.2226023308766,126.849252900621
광주 남구 봉선로121번길 2,35.1241811439394,126.909133238785
광주 광산구 어등대로 416 1층 보울레시피 선운점,35.1490559628664,126.768994456865
광주 광산구 수완로11번길 42 1층,35.1864019532043,126.826298024904
광주 북구 용봉택지로 46 1층,35.1784194708232,126.891239714451
광주 동구 중앙로160번길 31-35,35.1470777924251,126.916464758253
광주 북구 대자로 75-1 1층,35.1733547286968,126.880596292644
광주 북구 서하로 174-1,35.1870554498353,126.899481393969
광주 동구 학소로 97,35.1283913604879,126.933152819636
광주 동구 필문대로289번길 14,35.1464546011311,126.928148436156
광주 광산구 첨단중앙로124번길 41 1층 첨단보쌈 보향미,35.2166201333669,126.844525422277
광주 광산구 첨단중앙로68번길 134,35.2091394337078,126.850732836679
광주 서구 풍금로151번길 6-2,35.1305148902445,126.858341748129
광주 북구 면앙로156번길 40,35.1747462614736,126.927350173164
광주 북구 대천로139번길 1,35.1868393148503,126.920748956759
광주 북구 양산택지로34번길 5 복덕빵,35.209346082478,126.880328479935
광주 북구 서방로107번길 54,35.1725002227931,126.925803039616
광주 북구 서암대로 5-9,35.1735463466303,126.88543875516
광주 북구 경양로 45-1,35.1637863100278,126.897353861052
광주 광산구 왕버들로 129 1층,35.2015372478256,126.82463903614
광주 서구 풍금로4번길 5-14,35.1213431767308,126.866625239717
광주 북구 첨단연신로91번길 30,35.2065145521014,126.861219055167
광주 서구 화정로85번길 3,35.1453110689009,126.866565848076
광주 남구 대남대로379번길 7 동하샷슈부속,35.1445451341906,126.889932623941
광주 동구 양림로 120 120호,35.1399869008851,126.921361150082
광주 동구 경양로247번길 11,35.1576721878693,126.918293189122
광주 서구 계수로 59,35.160509198,126.85710745379
광주 동구 필문대로205번길 19-10 1층,35.1524519093788,126.933212603706
광주 광산구 수등로 211,35.1854237275322,126.832124864461
광주 서구 상무대로1005번길 11,35.1527911625056,126.871715940829
광주 광산구 장신로 141 101호,35.1910338186577,126.825662204153
광주 서구 화운로23번길 6 1층,35.1426703007324,126.883659353334
광주 서구 금화로149번길 135-1 1층,35.1439254032297,126.85923349154
광주 광산구 상무대로 59 1층 본가,35.1264772313072,126.783589476776
광주 광산구 하남울로12번하길 9,35.1808531392639,126.802596792638
광주 북구 일곡택지로 89,35.2096353718285,126.894119091829
광주 북구 면앙로139번길 89,35.1804270942783,126.929076643275
광주 동구 중앙로160번길 15-14,35.1475207046185,126.91527230437
광주 북구 본촌마을길102번길 23-14 1층,35.2182567978908,126.880105726237
광주 동구 필문대로191번길 15-3,35.1533931307061,126.932923745024
광주 북구 자미로 68-6,35.1719005394034,126.905007921304
광주 광산구 하남대로 151 1층 101호,35.1802740317113,126.810218103589
광주 서구 치평로 112 지하 1층 본 남원추어탕,35.157258227425,126.847678838586
광주 광산구 신창로86번길 7 1층,35.1929384476718,126.837911863745
광주 서구 상무대로 1055,35.1523085146876,126.877226540302
광주 서구 화개중앙로 55,35.1247382575953,126.855840930939
광주 서구 운천로 223 아이퍼스트주차빌딩 101호,35.1522782908647,126.854410989506
광주 광산구 수완로 6 수완센트럴병원 B동 1층,35.1854845554574,126.829277958484
광주 북구 북문대로 158,35.1827476077999,126.872485927122
광주 북구 설죽로 416 상가동 1층 101호 본도시락,35.1963177963818,126.900497879897
광주 북구 서방로 11,35.1735326056142,126.914411362578
광주 동구 필문대로 265,35.1474530918345,126.928237435944
광주 광산구 앰코로 35 1층,35.2215143042016,126.852391831029
"광주 광산구 상무대로 242 (송정동) ,102호",35.1404929239221,126.794021699419
광주 광산구 사암로 339 1층(월곡동),35.1748257781748,126.808435911771
광주 남구 양촌길 29-2 1층,35.1413666249821,126.914200343211
광주 광산구 평촌길 118,35.1808877377002,126.729106922788
광주 남구 대남대로 219 백운광장홀리어스 106호,35.1331828439074,126.900474242687
광주 북구 설죽로217번길 43 1층,35.1791930772317,126.892826585648
광주 광산구 임방울대로 154-11 1층 본스치킨,35.1751189305413,126.818765498393
광주 광산구 수완로 6,35.1854845554574,126.829277958484
광주 서구 상무중앙로 58,35.1521187862479,126.848918457002
광주 서구 서광주로 25 짬뽕지존 건물 2층,35.1294788356514,126.847690427948
광주 서구 금화로 278 롯데아울렛 2층,35.1366611132602,126.879159156444
광주 북구 밤실로 199,35.1649000940178,126.933135472547
광주 서구 하남대로 692,35.1714331557632,126.868443326833
광주 북구 설죽로 221,35.179438184089,126.897546399339
광주 동구 독립로 258 1층,35.154194858318,126.91091392952
광주 북구 서하로 375,35.1860173635516,126.921432552652
광주 동구 밤실로 154,35.1611835868764,126.935417766647
광주 광산구 첨단중앙로170번길 64,35.220459421939,126.845361440787
광주 광산구 사암로340번안길 20 1층 본죽&비빔밥 광주월곡점,35.176106411288,126.811125340838
광주 서구 운천로 225 지하1층 100호,35.1525106648762,126.854413867991
광주 서구 풍암1로21번길 3-24,35.126509009966,126.87829875969
광주 남구 봉선로 164,35.1228193119776,126.913121626087
광주 서구 치평로 80,35.1545565294428,126.847707470456
광주 북구 양산로 2,35.210984031119,126.87472715808
광주 남구 효천2로가길 9 101호,35.1016472904402,126.874083578498
